text,n
beginning in the 15th century,6
seventh-century,23
third century AD,4
the late 18th Century,12
the Nineteenth-Century,4
the 19th century AD,4
the beginning of the 2nd century BC,8
about 14th century,2
The late 19th century,20
the end of the seventh century,6
The 15th-century,19
10th Century,6
Twentieth Century Pictures,9
the 24th century,26
the late fifth century,9
Eighteenth Century,4
the second quarter of the 19th century,12
the Late Twentieth Century,5
and seventh century,1
the latter half of the eighteenth century,4
the early fifteenth century,19
the third-century,8
the beginning of the third century,3
the ninth century AD,5
the latter half of the seventh century,1
Late 19th-century,3
the early 18th Century,3
and 12th century,15
the end of the 8th century BC,3
the End of the Eighteenth Century,1
the late fifth century BC,3
6th Century,7
and 5th century,11
early 4th-century,2
the middle of 10th century,1
the second half of the Twentieth Century,1
21st-Century,5
10th century AD,6
the end of the third century,6
end of the 19th century,9
the beginning of the fifteenth century,5
the late 3rd century,29
The 9th century,9
the end of the thirteenth century,13
the middle 18th century,2
31st-century,2
the second half of 20th century,2
early in the 2nd century BC,2
early 2nd century,8
"6th century AD, 1009, 1718, 1791, 1833, 1858",1
the 10th-century,55
The early 18th century,6
the early 16th Century,4
the middle of the 4th century,12
late twentieth century,13
The third-century,3
The Eighteenth Century,3
Beginning in the 18th Century,1
the late 15th century AD,2
the late ninth century,15
16th century BC,2
the middle of the 4th century BC,8
the first half of the 14th century,23
The end of the 20th century,3
the thirteenth century AD,2
the thirteenth century BC,2
Seventeenth century,4
the start of the nineteenth century,8
about the end of the 16th century,1
the start of the 17th century,13
beginning of the 19th century,8
second half of the 18th century,2
later twentieth century,8
and 13th century BC,1
Beginning in the 17th century,3
7th century AD,13
the end of the sixth century,9
the Eighteenth century,5
The ninth-century,7
the early tenth century,8
the first half of the sixteenth century,7
the 7th century B.C.,2
the mid eighteenth century,6
the second half of the 3rd century,6
Late Twentieth Century,1
the 17th century BC,15
the Seventeenth Century,10
The 14th century,27
the beginning of the thirteenth century,11
the second half of the ninth century,3
the 11th century AD,17
the early 21st Century,7
3rd-century BC,5
late in the 13th century,2
Beginning in the 6th century,2
early 3rd century BC,1
the first half of the fifteenth century,2
the late 17th-century,4
the 20th-Century,2
and 6th century,10
the middle of the 11th century,18
the second half of the 20th Century,7
the beginning of the 2nd century AD,1
the end 15th century,1
The second half of the 17th century,1
3rd Century,2
the last half of the fourth century,1
early third century AD,1
the mid twentieth century,19
later seventh-century,2
20th Century Fox Television,15
The early 18th-century,2
the early 20th Century before,1
the beginning of the 1st century BC,4
Sony Pictures and Twentieth Century Fox,1
The Fifth-century,1
second half of the twentieth century,2
the beginning of the 5th century BC,4
the second quarter of the 12th century,4
13th Century,12
5th century BC,34
about the 2nd century BC,2
the end of the 14th Century,3
and 7th century AD,4
second century AD,5
later 9th century,9
the 18th century BC,12
The 2nd-century,13
the early seventh century,7
beginning of the Twentieth century,1
the second half of the 4th century,8
late 10th-century,2
the end of the 18th Century,12
the second half of the 19th Century,3
the Tenth Century,1
the beginning of the 11th century,16
The seventeenth century,7
early fourth century,3
the first half of the sixth century,2
the beginning of the 20th Century,3
the late seventh century,12
the middle of the fourth century,6
the late 6th century BC,12
the mid 19th Century,11
the 10th century AD,28
beginning in the twentieth century,2
Nineteenth-Century,14
early sixth-century BC,1
end in the middle of the 13th century,1
the end of the fifth century,5
the third century B.C,1
Early in the 12th century,9
20th Century Fox Film Corporation,2
the end of the 5th century AD,1
the mid 6th century,7
the early eighth century,12
the end of the ninth century,14
The first half of the twentieth century,3
about the 4th century,7
The early 17th century,5
second half of the 13th century,1
the mid fourteenth century,2
Late Eighteenth-Century,1
3rd-century AD,3
Early 19th century,2
the end of the 2nd century BC,7
Cardiff Councils 21st Century Schools Programme,1
Early in the 18th century,5
the mid 5th century,2
the beginning of the 3rd century AD,2
about the middle of the 20th-century,1
the mid seventeenth century,6
seventh century AD,2
the early eleventh century,8
early 10th-century,2
the early 2nd century,24
about sixteenth century,1
start of the 20th century,2
the middle of the fifth century AD,1
The thirteenth century,5
the early first century,6
late nineteenth century,21
the second quarter of the 13th century,3
8th Century,4
the middle of the 1st century AD,3
19th Century Hydrographic Office,1
The 12th century,22
The thirteenth-century,12
mid 14th century,4
The 3rd-century,4
The late 18th century,4
the end of the eighth century,9
late nineteenth-century,16
more than 400 years from the 15th century,2
The start of the 19th century,1
the early 2nd century BC,4
the late thirteenth century,11
the beginning of the 9th century,12
late in the 17th century,3
in the early 20th century,1
the mid 20th-century,3
the beginning of the 1st century,6
the Nineteenth century,5
the end of the sixth century BC,2
Nineteenth century,17
Early 18th century,3
about the middle of the 13th century,2
the second-century,7
early 15th-century,12
about the 7th century,7
About the 18th century,1
the second quarter of the 16th century,2
the late 4th century BC,7
Woodland Progressive School For 21st Century Citizens,1
about the fourth century,2
The 10th century,12
the late 5th century BC,13
21st Century International Ballet Gala,1
late Thirteenth Century,2
the 9th Century,6
Later sixteenth-century,1
the 21st century New Year's,1
fall in the 7th century,1
The beginning of the 15th century,1
the end of 1st-century,1
4th-century A.D.,1
The 21st-century,2
the late third century,8
fourth century B.C,1
The early eighteenth century,1
beginning of the thirteenth century,1
the 20th century BC,7
the late second century,3
the end of 2nd century,1
early tenth-century,1
The twelfth-century,4
the Thirteenth Century,8
later ninth century,3
and 2nd century BC,2
the start of the 7th century,2
26th century BC,2
22nd Century,8
the last half of the 16th century,4
first half of the 17th century,3
Early in the 17th century,3
the early 18th-century before,1
19th- century,1
12th century AD,5
the middle of the third century AD,2
beginning in the middle of the 18th century,2
end of the 18th century,3
The early twentieth-century,1
14th,1
second-century,12
the late 8th century BC,7
the end of the 19th-century,7
The third-century AD,1
the 23rd century,20
beginning in the third century,1
early in the 2nd century,3
the mid 20th Century,4
the second quarter of the 3rd century,1
the start of the 11th century,5
The first half of the 20th century,7
12th century BC late,1
the beginning of the 5th century AD,1
the fifth century A.D.,2
mid 17th century,9
beginning in the 3rd century BC,1
mid 5th century BC,1
the late 20th-century,6
Late in the 20th century,7
late 3rd century,7
11th century AD,4
the 1st century A.D.,3
the early 12th-century,5
the start of the 13th century,6
Twentieth-century,23
31st century BC,1
the first half of the 1st century AD,3
the last half of 16th century,1
the last half of the twentieth century,7
late 16th-century,13
The beginning of the 21st century,1
early 6th century,11
about early 20th century,1
the early 15th Century,2
the end of 15th century,5
about the twelfth century,1
and fifteenth century,5
about the middle of the twelfth century,1
the first half of 19th century,6
the early sixteenth-century,3
the 22nd century,20
the late 9th-century,7
the middle of the 6th century AD,1
14th Century,9
early in the 14th century,6
the 67th century,1
about the beginning of the 16th century,1
middle seventeenth century,2
end in the first half of the fifteenth century,1
The 21st century,24
the early fifth century BC,4
the middle 3rd century,1
the latter half of the second century,1
and 1st century BC,3
the second half of the 5th century,11
the end of the 7th century,25
the second half of the fourteenth century,2
the end of the 4th century before,1
The second half of the 20th century,7
the end of the 6th century BC,4
the second half of the 2nd century,6
eighth century A.D.,1
The middle 19th century,2
the early nineteenth-century,8
5th-century BC,7
late 19th Century,8
Seventeenth Century,6
first half of 20th century,1
the late 6th Century A.D.,1
the second quarter of the fifteenth century,2
nearly the fifth century,1
the last half of the 19th century,13
earlier 19th-century,5
early fifth century,7
the first half of the first century AD,1
early in the fourth century,4
and 1st century,3
18th Century,30
The eighth century,1
earlier 19th century,4
4th century A.D.,4
beginning in the 7th century,1
the beginning of the 15th Century,1
the eighth century BC,13
the start of the 10th century,1
mid 4th century,1
the 3rd Century B.C,1
the first half of the eighteenth century,10
4th Century,5
late 18th Century,2
"the 5th century, may",1
the dawn of the twentieth century,4
Eighteenth-Century,7
about the 14th century,4
the middle of the 2nd century AD,2
late 14th-century,10
the first quarter of the 7th century,2
the late 1st century AD,7
the middle of the 15th Century,1
The 17th Century,1
first half of the 9th century,1
the mid 15th century,15
Beginning in the sixth century,1
the first half of the seventeenth century,6
and 2nd century AD,7
about the 1st century,3
end of the 18th Century,1
17th Century,14
about the 2nd century,2
the 11th century A.D.,2
late fourth-century,2
20th Century Fox Television and Flower Films,1
mid 2nd century,1
later 7th century,4
the 24th century BC,7
24th-century,2
the second half of the seventh century,3
the middle of the first century,5
The 7th-century,9
Cyberinfrastructure Framework for 21st Century Science and Engineering,1
the middle of the fourteenth century,4
The late 13th-century,4
the beginning of the 8th century AD,1
Early in the 14th century,4
the middle of the 2nd century,17
the beginning of the 3rd century BC,6
Society and 21st Century Fox,1
late third century AD,1
the first half of the ninth century,4
The first half of the 19th century,6
the end of 21st century,1
and second century AD,3
the end of the 7th century BC,4
the late twelfth-century,1
end of the tenth century,2
The fifteenth-century,2
and eighth century AD,2
first half of the eighteenth century,2
Early 20th-century,10
1st-century AD,2
the second half of the 9th century,8
the beginning of the 4th century,9
the beginning of the twelfth century,3
The first half of the 4th century AD,1
late twentieth-century,8
The sixteenth-century,3
About the 16th century,1
21st Century Broadcasting,1
third quarter of the 1st century,1
the middle of the sixth century BC,1
the 27th century,3
the latter half of the 14th century,4
early sixteenth-century,4
the 22nd century BC,3
about the 5th century BC,2
the early 12th century A.D,1
AD Judaism,1
end of the 12th century,1
early in the 8th century,1
beginning of the 15th century,3
the fifth-century,10
The late 14th century,2
the 6th Century,6
the 19th century in April 1842,1
the middle of the twelfth century,4
the late 11th century BC,3
Fifth century,1
the early 18th-century,5
the second century A.D.,3
early 19th Century,7
The 5th-century,6
the seventh-century,13
earlier 12th-century,1
the start of the early 19th century,1
21st Century Film Corporation,3
the beginning of the 20th-century,2
the end of the eleventh century,5
the late 6th century AD,2
the early seventh-century,2
30th century,3
seventh century,17
late in the 4th century BC,1
18th Century `Graveyard School,1
second-century AD,1
the end 20th century,1
5th century AD,13
The twentieth-century,4
beginning in the 6th century BC,4
The first-century,2
the Late Fourteenth Century,1
end of the 16th century,5
the beginning of the 12th Century,1
the 16th century before,2
the end of the sixth century A.D.,1
about the middle of the 1st century,4
the late 11th Century,2
Later 19th century,1
the second half of the first century,3
late 14th century,16
eighth century BC,2
later 10th century,5
early in the fourteenth century,1
early in the 7th century,5
51st century,1
late 2nd century,9
the 8th Century AD,2
the dawn of the 21st century,7
The fifteenth century,2
earlier 17th-century,2
James Martin 21st Century School,2
The nineteenth-century,9
Beginning in the eighth century,1
9th century AD,3
beginning in the 2nd century,2
the first half of the 7th century,7
The second half of the 18th century,2
later 2nd century,3
the beginning of the 13th Century,3
the second half of the third century BC,1
the Thirteenth century,1
The seventeenth-century,5
The early 3rd-century,1
beginning of the 4th century,2
middle 17th century,1
Fifteenth-Century,2
the late fifteenth-century,3
The first century AD,2
end the 19th Century,1
the 2nd quarter of the 17th century,1
the first half of the 5th century,7
the seventh century B.C.,2
the 5th century fall,1
later sixteenth century,2
the early second century,6
the first half of the 18th Century,2
the 16th century A.D.,1
the 22nd Century,4
the end of the 1st-century BC,1
12th century BC,3
the middle of seventeenth century,1
early Twelfth Century,1
the middle of the third century,9
