text,value,n
1670s,167X,63
Beginning in the 1940s,194X,63
mid-1980s,198X,62
the mid-1780s,178X,62
the first half of the 1930s,193X,60
the latter half of the 1960s,196X,60
the 1030s,103X,60
The early 1970s,197X,60
the mid-1760s,176X,59
the early 1740s,174X,59
the 1100s,110X,58
the end of the 1850s,185X,58
the early 1660s,166X,58
1650s,165X,58
the 1080s,108X,58
the early 1640s,164X,57
1590s,159X,57
1730s,173X,57
the late 1820s,182X,57
later 1990s,199X,55
1570s,157X,55
the early 1620s,162X,55
The late 1980s,198X,54
later 1950s,195X,54
the early 1750s,175X,54
the early 1680s,168X,53
the latter half of the 1970s,197X,53
The mid-1990s,199X,53
the mid-1750s,175X,53
the first half of the 1950s,195X,53
the early 1720s,172X,53
the mid-1770s,177X,53
the mid-1500s,150X,52
The 1830s,183X,52
beginning in the 1880s,188X,52
the early 1990s before,199X,51
the 1090s,109X,51
about the 1960s,196X,50
the 1060s,106X,50
early 2010s,201X,50
The mid-1980s,198X,50
1680s,168X,50
The 1840s,184X,49
mid-1940s,194X,49
1640s,164X,49
the 1930s before,193X,49
the end of the 1840s,184X,49
1580s,158X,49
the middle of the 1920s,192X,48
the beginning of the 1940s,194X,48
the mid 1930s,193X,48
Beginning in the mid-1980s,198X,48
the 1920s before,192X,48
the early 1590s,159X,48
late 1990s,199X,48
Beginning in the 1880s,188X,48
years in the 1980s,198X INTERSECT P1Y,47
The early 1960s,196X,47
the early 1580s,158X,46
the decade of the 1980s,THIS P10Y INTERSECT 198X,46
the decade of the 1960s,THIS P10Y INTERSECT 196X,46
the decade of the 2000s,THIS P10Y INTERSECT 200X,46
years of the 1930s,193X INTERSECT P1Y,46
the early 1520s,152X,45
1620s,162X,45
the decade of the 1970s,THIS P10Y INTERSECT 197X,45
the late 2020s,202X,45
the,194X,45
the early 1650s,165X,44
the start of the 1950s,195X,44
1720s,172X,44
later 1980s,198X,43
the first half of the 2000s,200X,43
the 1510s,151X,43
beginning in the 1870s,187X,43
the first half of the 1900s,190X,43
beginning in the 1830s,183X,42
the second half of the 1940s,194X,42
1500s,150X,42
the start of the 1930s,193X,42
the early 1670s,167X,42
early 1920s,192X,42
the mid-1650s,165X,42
The mid-1960s,196X,42
the mid 1940s,194X,41
several years in the 1990s,199X INTERSECT PXY,41
beginning in the 1850s,185X,41
the start of the 2000s,200X,40
the mid-1630s,163X,40
the 1020s,102X,40
1530s,153X,40
1540s,154X,40
The mid-1970s,197X,40
the mid 1830s,183X,40
the beginning of the 1800s,180X,39
late 1980s,198X,38
The early 1950s,195X,38
the beginning of the 1890s,189X,37
the decade of the 1990s,THIS P10Y INTERSECT 199X,37
Beginning in the mid-1990s,199X,37
the early 1970s before,197X,37
mid-1800s,180X,37
the first half of the 1920s,192X,37
the mid 1800s,180X,37
the,200X,37
the mid-1730s,173X,36
the 1310s,131X,36
the beginning of the 1880s,188X,35
about the 1970s,197X,35
1660s,166X,35
years in the 1960s,196X INTERSECT P1Y,35
The late 1950s,195X,35
1690s,169X,35
the 1000s,100X,35
Beginning in the mid-1970s,197X,34
beginning in the 1890s,189X,34
early 1890s,189X,34
Beginning in the 1890s,189X,34
mid-1890s,189X,34
the early 1560s,156X,34
the latter half of the 1950s,195X,34
late 2000s,200X,33
1480s,148X,33
beginning in the mid-1980s,198X,33
Early in the 1990s,199X,33
the end of 1980s,198X,33
the early 1260s,126X,33
1560s,156X,33
the beginning of the 1870s,187X,33
the middle of the 2000s,200X,32
the early 1570s,157X,32
mid-1900s,190X,32
late 1870s,187X,32
1520s,152X,32
1380s,138X,32
years in the 1990s,199X INTERSECT P1Y,32
the 1940s before,194X,32
years in the 1970s,197X INTERSECT P1Y,32
beginning in the mid-1990s,199X,31
the early 1980s before,198X,31
the second half of the 1800s,180X,31
1330s,133X,31
the middle 1950s,195X,31
1470s,147X,31
the beginning of the 2010s,201X,31
Beginning in the 1870s,187X,31
the decade of the 1950s,THIS P10Y INTERSECT 195X,31
the late 1600s,160X,31
1300s,130X,31
the mid 1850s,185X,31
the mid-1590s,159X,31
the end of the 1910s,191X,31
the early 1690s,169X,30
the late 1900s,190X,30
beginning in the 1860s,186X,30
the early 1540s,154X,30
3000s,300X,30
Early in the 1970s,197X,30
The 1910s,191X,30
the mid-1720s,172X,30
1430s,143X,30
the middle 1990s,199X,30
the early 1530s,153X,30
early in the 1950s,195X,29
the second half of the 2000s,200X,29
beginning in the 1840s,184X,29
1390s,139X,29
the mid-1660s,166X,28
Beginning in the 1830s,183X,28
the beginning of the 1860s,186X,28
The early 1900s,190X,28
Beginning in the mid-1950s,195X,28
the end of the 1830s,183X,28
The 1820s,182X,28
early in the 1900s,190X,28
the first half of the 1800s,180X,28
the late 1780s,178X,28
1400s,140X,28
1340s,134X,28
the early 1300s,130X,27
early in the 1990s,199X,27
the latter half of the 1920s,192X,27
about the 1980s,198X,27
1440s,144X,27
early 1930s,193X,27
the early 2030s,203X,26
the early 1960s before,196X,26
the first half of the 1940s,194X,26
1370s,137X,26
1360s,136X,26
Beginning in the 1840s,184X,26
several years in the 1980s,198X INTERSECT PXY,26
The early 1930s,193X,26
several years in the 1970s,197X INTERSECT PXY,26
the decade of the 1920s,THIS P10Y INTERSECT 192X,26
the mid-1670s,167X,26
1550s,155X,26
1230s,123X,25
the mid-1990s before,199X,25
the decade of the 1930s,THIS P10Y INTERSECT 193X,25
the late 1990s before,199X,25
Early 1990s,199X,25
the end of 1990s,199X,25
Beginning in the 2000s,200X,25
years of the 1880s,188X INTERSECT P1Y,25
1990s before,199X,25
2020s,202X,25
the,190X,25
1320s,132X,25
beginning in the mid-1970s,197X,25
the early 2000s before,200X,25
Early in the 1980s,198X,25
the early 1400s,140X,24
early in the 1970s,197X,24
late 1940s,194X,24
Early in the 1950s,195X,24
the beginning of 1990s,199X,24
late 1950s,195X,24
the middle of the 1800s,180X,24
1140s,114X,24
beginning in the 1820s,182X,24
early in the 1930s,193X,24
the,189X,24
1810s,181X,24
about the 1950s,195X,24
the middle of the 1940s,194X,23
later 1920s,192X,23
later 1940s,194X,23
1450s,145X,23
the latter half of the 1930s,193X,23
the mid 1840s,184X,23
about the 1920s,192X,23
mid-1870s,187X,23
The 1900s,190X,23
1080s,108X,22
1240s,124X,22
The early 1920s,192X,22
the mid-1640s,164X,22
1250s,125X,22
the early 1550s,155X,22
beginning of the 1990s,199X,22
Beginning in the 1820s,182X,22
the mid-1740s,174X,22
late in the 1950s,195X,22
the early 1270s,127X,22
the end of the 1700s,170X,22
mid 2000s,200X,22
the start of the 1920s,192X,22
the second half of the 1880s,188X,22
the early 1450s,145X,22
the mid-1980s before,198X,21
the mid 1880s,188X,21
early in the 2000s,200X,21
1420s,142X,21
the latter half of the 2000s,200X,21
the mid 1890s,189X,21
the mid 2020s,202X,21
early in the 1920s,192X,21
beginning in the mid-1960s,196X,21
the early 1200s,120X,21
1350s,135X,21
the end of the 1820s,182X,21
the end of the 1900s,190X,20
the 1210s,121X,20
Beginning in the 1850s,185X,20
several years in the 1960s,196X INTERSECT PXY,20
mid-1880s,188X,20
1130s,113X,20
the start of the 1900s,190X,20
the decade of the 1940s,THIS P10Y INTERSECT 194X,20
1150s,115X,20
the early 1480s,148X,20
late in the 1960s,196X,19
1060s,106X,19
the mid-1550s,155X,19
1050s,105X,19
1490s,149X,19
the mid-2030s,203X,19
years of the 1970s,197X INTERSECT P1Y,19
the early years of the 2000s,200X INTERSECT PXY,19
years in the 1950s,195X INTERSECT P1Y,19
the late 1790s,179X,19
the 2040s,204X,19
Beginning in the mid-1960s,196X,19
the early 1220s,122X,19
1460s,146X,19
the late 1760s,176X,19
about the 1990s,199X,19
the 1410s,141X,19
early in the 1960s,196X,19
the mid-1400s,140X,19
years of the 1960s,196X INTERSECT P1Y,18
later 1930s,193X,18
the mid-1520s,152X,18
the 4000s,400X,18
Early in the 1900s,190X,18
later 1970s,197X,18
the early 1470s,147X,18
the 2060s,206X,18
the,187X,18
1160s,116X,18
1180s,118X,18
years of the 1920s,192X INTERSECT P1Y,18
later 1870s,187X,18
1510s,151X,18
the 2050s,205X,18
1030s,103X,17
the mid-1620s,162X,17
the mid 1900s,190X,17
1200s,120X,17
The late 2000s,200X,17
1290s,129X,17
late in the 1920s,192X,17
the early 1460s,146X,17
the first half of the 2010s,201X,17
the early 1380s,138X,17
the 1010s,101X,17
the beginning of 2000s,200X,17
the early 1320s,132X,17
1260s,126X,17
late 1970s,197X,17
the mid-1680s,168X,17
the mid-1690s,169X,16
mid-1840s,184X,16
the mid-1560s,156X,16
early in the 1980s,198X,16
the middle of the 1890s,189X,16
the early 1950s before,195X,16
Late in the 1950s,195X,16
mid-1860s,186X,16
the early 1940s before,194X,16
Early 1980s,198X,16
year in the 1970s,197X INTERSECT P1Y,16
the latter half of the 1800s,180X,16
1220s,122X,16
later 2000s,200X,16
Early in the 1920s,192X,16
1000S,100X,16
the end of 1950s,195X,16
the mid-1810s,181X,16
1710s,171X,15
the first half of the 1890s,189X,15
the early 1370s,137X,15
1410s,141X,15
the,185X,15
the decade of the 1880s,THIS P10Y INTERSECT 188X,15
the late 1690s,169X,15
the mid-1580s,158X,15
the,188X,15
Late in the 1980s,198X,15
Early in the 1940s,194X,15
about the 1830s,183X,15
the early 1490s,149X,15
years of the 1980s,198X INTERSECT P1Y,15
Early in the 1930s,193X,15
The early 1940s,194X,15
later 1830s,183X,15
year in the 1980s,198X INTERSECT P1Y,15
years in the 1920s,192X INTERSECT P1Y,15
end of the 1980s,198X,14
1610s,161X,14
the,183X,14
the mid-1530s,153X,14
several years in the early 2000s,200X INTERSECT PXY,14
the end of the 2010s,201X,14
The mid-2000s,200X,14
the end of the 1790s,179X,14
beginning in the mid-1930s,193X,14
The 1800s,180X,14
1280s,128X,14
the early 1430s,143X,14
the mid-1050s,105X,14
several years in the 1950s,195X INTERSECT PXY,14
1270s,127X,14
Beginning in the mid-1930s,193X,14
1100S,110X,14
years in the 1930s,193X INTERSECT P1Y,14
Late in the 1970s,197X,14
about 1960s,196X,14
1040s,104X,14
1170s,117X,14
4000s,400X,14
about 1980s,198X,14
the middle of the 1860s,186X,14
a few years in the 1970s,197X INTERSECT PXY,14
the late 1770s,177X,14
about the 1860s,186X,14
Beginning in the mid-2000s,200X,14
the beginning of the 1850s,185X,14
years of the 1990s,199X INTERSECT P1Y,14
the 1870s before,187X,14
The end of the 1970s,197X,14
about the 1930s,193X,14
the last half of the 1990s,199X,13
the second half of the 2010s,201X,13
the early decades of the 1900s,190X INTERSECT PXY,13
several years in the mid-1990s,199X INTERSECT PXY,13
the middle of the 1880s,188X,13
the latter half of the 1940s,194X,13
The end of the 1980s,198X,13
years of the 1950s,195X INTERSECT P1Y,13
the,186X,13
late in the 1990s,199X,13
the decade of the 2010s,THIS P10Y INTERSECT 201X,13
years in the 1940s,194X INTERSECT P1Y,13
the late 1730s,173X,13
the second half of the 1860s,186X,13
2030s,203X,13
1960s before,196X,13
1070s,107X,13
the middle 1980s,198X,13
about the 1940s,194X,13
the 1110s,111X,13
The 1730s,173X,13
late 1830s,183X,13
The 1790s,179X,13
Early in the 1960s,196X,13
Beginning in the 1860s,186X,13
1100s,110X,13
the early 1360s,136X,13
the late 1720s,172X,13
1310s,131X,13
the end of 1960s,196X,13
the mid 1860s,186X,13
the mid-1960s before,196X,13
The decade of the 1990s,THIS P10Y INTERSECT 199X,13
the early 1160s,116X,13
year in the 1990s,199X INTERSECT P1Y,13
the late 1580s,158X,12
the first years of the 1970s,197X INTERSECT PXY,12
late in the 1930s,193X,12
beginning in the 1910s,191X,12
end of the 1960s,196X,12
beginning in the mid-2000s,200X,12
the 1890s before,189X,12
the 2000s before,200X,12
Beginning in the 1910s,191X,12
1020s,102X,12
the early 1090s,109X,12
1120s,112X,12
the early 1900s before,190X,12
The decade of the 1980s,THIS P10Y INTERSECT 198X,12
end of the 1970s,197X,12
the 1860s before,186X,12
Late in the 1930s,193X,12
the decades of the 1950s,195X INTERSECT PXY,12
the second half of the 1890s,189X,12
mid-1850s,185X,12
the beginning of the 1770s,177X,12
The end of the 1960s,196X,12
1210s,121X,12
the first half of the 1880s,188X,12
the decade of the 1910s,THIS P10Y INTERSECT 191X,12
start in the 1880s,188X,12
the 2080s,208X,12
The mid-1930s,193X,12
years of the 1890s,189X INTERSECT P1Y,12
a few years in the early 1980s,198X INTERSECT PXY,11
Early in the 2000s,200X,11
the beginning of the 1840s,184X,11
beginning of the 1960s,196X,11
1980s before,198X,11
the early 1920s before,192X,11
1190s,119X,11
the mid-1440s,144X,11
the late 1500s,150X,11
the late 1650s,165X,11
Late 1980s,198X,11
The 1760s,176X,11
the mid-1930s before,193X,11
late in the 1980s,198X,11
mid-1700s,170X,11
the end of 1970s,197X,11
The 1640s,164X,11
the early 1070s,107X,11
the end of the 1780s,178X,11
The decade of the 1970s,THIS P10Y INTERSECT 197X,11
the mid-1540s,154X,11
The beginning of the 1990s,199X,11
the mid-1450s,145X,11
the early 1290s,129X,11
late in the 1970s,197X,11
the dawn of the 1970s,197X,11
the early 1440s,144X,11
the early 1340s,134X,11
the early 1350s,135X,11
3000S,300X,11
the second half of the 1870s,187X,11
the mid 1700s,170X,11
the end of the 1630s,163X,11
the early 1050s,105X,11
the late 1750s,175X,10
the first years of the 2000s,200X INTERSECT PXY,10
the 1880s before,188X,10
the decade of the 1890s,THIS P10Y INTERSECT 189X,10
the early 1280s,128X,10
The beginning of the 1980s,198X,10
the mid 1910s,191X,10
the mid-1570s,157X,10
beginning of the 1980s,198X,10
the early 1190s,119X,10
The first half of the 1990s,199X,10
The second half of the 1980s,198X,10
days in the 1960s,196X INTERSECT P1D,10
The mid-1950s,195X,10
the first decade of the 1800s,180X INTERSECT PXY,10
the early years of the 1970s,197X INTERSECT PXY,10
The 1650s,165X,10
Early 1970s,197X,10
Late in the 1960s,196X,10
mid-1910s,191X,10
mid 1990s,199X,10
the decades of the 1920s,192X INTERSECT PXY,10
the early 1130s,113X,10
beginning in the mid-1950s,195X,10
Early 2000s,200X,10
the mid-1970s before,197X,10
the middle 2000s,200X,10
mid 1870s,187X,10
beginning in the 2000s,200X,10
the mid-1470s,147X,10
the early 1030s,103X,10
Late 1970s,197X,10
beginning of the 1970s,197X,10
the early 1240s,124X,10
the late 1520s,152X,10
1010s,101X,10
the late 1670s,167X,10
end of the 1990s,199X,10
The late 1940s,194X,10
end in the 1960s,196X,10
The early 2010s,201X,10
the end of the 1660s,166X,9
the beginning of the 1910s,191X,9
years in the early 1980s,198X INTERSECT P1Y,9
the beginning of 1980s,198X,9
about the 1850s,185X,9
the early 1120s,112X,9
The late 1920s,192X,9
days in the 1930s,193X INTERSECT P1D,9
early in the 1940s,194X,9
the first years of the 1920s,192X INTERSECT PXY,9
early 2000s before,200X,9
2600s,260X,9
the 2070s,207X,9
beginning of the 2000s,200X,9
the middle of the 1820s,182X,9
end in the 1980s,198X,9
the end of the 1500s,150X,9
the 1850s before,185X,9
a few years in the early 1990s,199X INTERSECT PXY,9
the late 1560s,156X,9
the decade of the 1870s,THIS P10Y INTERSECT 187X,9
start in the 1970s,197X,9
the late 1530s,153X,9
the middle of the 1870s,187X,9
Early 1900s,190X,9
The mid-1920s,192X,9
the end of the 1760s,176X,9
the middle of the 2010s,201X,9
later 1800s,180X,9
the second half of the 1700s,170X,9
late 1920s,192X,9
Late in the 1990s,199X,9
early 1800s,180X,9
early 1860s,186X,9
the dawn of the 1990s,199X,9
start in the 1870s,187X,9
the first decades of the 1900s,190X INTERSECT PXY,9
a year in the 1950s,195X INTERSECT P1Y,9
the late 1620s,162X,9
Late in the 1940s,194X,9
1930s before,193X,9
the late 1660s,166X,9
the early 1060s,106X,9
The mid-2010s,201X,9
The end of the 1950s,195X,9
the second half of the 1850s,185X,9
"23 November 2000, this 1860s",THIS 186X INTERSECT 2000-11-23,9
the beginning of the 1700s,170X,9
year in the 1960s,196X INTERSECT P1Y,9
The 1770s,177X,9
the early years of the 1980s,198X INTERSECT PXY,9
the late 1590s,159X,9
the mid-1240s,124X,9
the early 1330s,133X,9
the early 1230s,123X,9
Early 1950s,195X,8
the 2600s,260X,8
1800S,180X,8
the beginning of 1950s,195X,8
Early in the 1890s,189X,8
the middle of the 1900s,190X,8
the early 1420s,142X,8
several years in the mid-1980s,198X INTERSECT PXY,8
about the 1870s,187X,8
several years in the 1920s,192X INTERSECT PXY,8
the end of the 1600s,160X,8
the mid-1430s,143X,8
late in the 1940s,194X,8
1110s,111X,8
the late 1630s,163X,8
the second half of the 1900s,190X,8
the second half of 1990s,199X,8
the start of the 2010s,201X,8
The 1750s,175X,8
the second half of the 1820s,182X,8
the early 1100s,110X,8
a few years in the 1930s,193X INTERSECT PXY,8
start in the 1990s,199X,8
a few years in the 1950s,195X INTERSECT PXY,8
days of the 1970s,197X INTERSECT P1D,8
the beginning of the 1830s,183X,8
the first years of the 1980s,198X INTERSECT PXY,8
the,184X,8
The first half of the 1970s,197X,8
the middle of the 1850s,185X,8
the early 1040s,104X,8
later 1960s,196X,8
the last years of the 1980s,PREV_IMMEDIATE P1Y INTERSECT 198X,8
the mid-1300s,130X,8
the 1960s may,196X-05,8
the decade of the 1900s,THIS P10Y INTERSECT 190X,8
the 1950s may,195X-05,8
1090s,109X,8
1950s before,195X,8
several years in the 1930s,193X INTERSECT PXY,8
years in the early 2000s,200X INTERSECT P1Y,8
the early years of the 1900s,190X INTERSECT PXY,8
The 5700s,570X,8
days of the 1960s,196X INTERSECT P1D,8
the early 1180s,118X,8
the mid-1380s,138X,8
the decade of the 1840s,THIS P10Y INTERSECT 184X,8
The 1690s,169X,8
years in the mid-1990s,199X INTERSECT P1Y,7
about the 1890s,189X,7
the middle of the 1700s,170X,7
a year in the 1940s,194X INTERSECT P1Y,7
Beginning in the 1790s,179X,7
the beginning of 1970s,197X,7
the Early 1990s,199X,7
four years in the 1980s,198X INTERSECT P4Y,7
the late 1640s,164X,7
Beginning in the 1740s,174X,7
end of the 1920s,192X,7
several years in the 2000s,200X INTERSECT PXY,7
The 1200s,120X,7
the 1000S,100X,7
about the 1880s,188X,7
Beginning in 1960s,196X,7
the mid 1750s,175X,7
five years in the 1970s,197X INTERSECT P5Y,7
mid-1830s,183X,7
the early 1930s before,193X,7
about 1920s,192X,7
the end of the 1770s,177X,7
the Late 2000s,200X,7
mid 1980s,198X,7
start in the 1930s,193X,7
5000s,500X,7
the early nineteen eighties,198X,7
beginning in the 1790s,179X,7
the mid 1500s,150X,7
Beginning in the 1770s,177X,7
The late 1870s,187X,7
earlier 1970s,197X,7
the 1930s may,193X-05,7
the late 1740s,174X,7
7700s,770X,7
the late 1570s,157X,7
year in the 1950s,195X INTERSECT P1Y,7
the Early 2000s,200X,7
The decade of the 2000s,THIS P10Y INTERSECT 200X,7
The late 1850s,185X,7
the middle 1920s,192X,7
The early 1870s,187X,7
"the 1950s, 1960",195X,7
the beginning of the 1780s,178X,7
The 1630s,163X,7
the 1820s before,182X,7
the beginning of 1960s,196X,7
"the 1960s, 1970",196X,7
the 1910s before,191X,7
the late 1540s,154X,7
early in the 1860s,186X,7
The 1500s,150X,7
the decades of the 1960s,196X INTERSECT PXY,7
two years in the 1960s,196X INTERSECT P2Y,7
late 1890s,189X,7
the start of the 1940s,194X,7
Beginning in the 2010s,201X,7
Beginning in the 1620s,162X,7
early in the 1800s,180X,7
a year in the 1960s,196X INTERSECT P1Y,7
The 1560s,156X,7
the middle 1970s,197X,6
a decade in the 1990s,199X INTERSECT P10Y,6
days of the 1940s,194X INTERSECT P1D,6
early in the 1890s,189X,6
The 1700s,170X,6
the end of the 1620s,162X,6
the start of the 1880s,188X,6
the middle 1930s,193X,6
Late in the 1920s,192X,6
Beginning in the 1700s,170X,6
the middle of 1980s,198X,6
the 1970s may,197X-05,6
The decade of the 1960s,THIS P10Y INTERSECT 196X,6
9000s,900X,6
the early 1150s,115X,6
the start of the 1870s,187X,6
2040s,204X,6
1120S,112X,6
three years in the 1980s,198X INTERSECT P3Y,6
The mid-1800s,180X,6
